,ID,Destination,Reason for Leaving,Entry_Date,Exit_Date,Duration
0,397941,Client rental with other subsidy,Completed program,2015-08-15,2016-07-11,331 
9,130335,Data not collected,Needs could not be met,2015-08-15,2015-08-31,16 
69,130335,With friends temporarily,Other,2015-10-30,2015-11-01,2 
129,130335,With friends temporarily,Other,2015-11-26,2015-12-03,7 
189,130335,With friends temporarily,Other,2015-12-05,2016-01-19,45 
969,188933,With friends temporarily,Other,2015-08-15,2015-09-19,35 
1122,188933,With friends temporarily,Other,2015-09-28,2015-10-02,4 
1275,188933,With friends temporarily,Other,2015-11-02,2015-11-25,23 
1428,188933,With friends temporarily,Other,2015-11-30,2016-01-09,40 
1581,188933,With friends temporarily,Other,2016-01-11,2016-01-15,4 
1734,188933,With friends temporarily,Other,2016-01-17,2016-01-19,2 
1887,188933,With friends temporarily,Other,2016-01-20,2016-01-21,1 
2040,188933,With friends temporarily,Other,2016-01-27,2016-02-15,19 
2193,188933,With friends temporarily,Other,2016-03-14,2016-03-17,3 
13362,168290,Medical facility,Other,2015-08-15,2016-03-07,205 
13398,168290,With friends temporarily,Other,2016-03-08,2016-04-12,35 
13434,168290,With friends permanently,Completed program,2016-04-13,2017-05-18,400 
13470,168290,,,2019-10-11,,
13650,168290,Medical facility,Other,2015-08-15,2016-03-07,205 
13686,168290,With friends temporarily,Other,2016-03-08,2016-04-12,35 
13722,168290,With friends permanently,Completed program,2016-04-13,2017-05-18,400 
13758,168290,,,2019-10-11,,
13794,168290,Medical facility,Other,2015-08-15,2016-03-07,205 
13830,168290,With friends temporarily,Other,2016-03-08,2016-04-12,35 
13866,168290,With friends permanently,Completed program,2016-04-13,2017-05-18,400 
13902,168290,,,2019-10-11,,
13938,123122,With friends temporarily,Other,2015-08-15,2015-08-24,9 
14028,123122,With friends temporarily,Other,2015-08-25,2015-09-01,7 
14118,123122,With friends temporarily,Other,2015-09-02,2015-10-18,46 
14208,123122,Medical facility,Other,2015-10-19,2015-12-02,44 
14298,123122,With friends temporarily,Other,2015-12-04,2016-02-17,75 
14388,123122,Medical facility,Other,2016-04-12,2016-05-03,21 
14478,123122,With friends temporarily,Other,2016-05-10,2016-06-03,24 
14568,123122,Medical facility,Other,2016-06-04,2016-07-14,40 
14658,123122,Client does not know,Does not or no longer qualifies for program,2016-07-15,2016-09-07,54 
14748,123122,Client rental with other subsidy,Completed program,2017-09-29,2018-11-07,404 
22038,123122,With friends temporarily,Other,2015-08-15,2015-08-24,9 
22128,123122,With friends temporarily,Other,2015-08-25,2015-09-01,7 
22218,123122,With friends temporarily,Other,2015-09-02,2015-10-18,46 
22308,123122,Medical facility,Other,2015-10-19,2015-12-02,44 
22398,123122,With friends temporarily,Other,2015-12-04,2016-02-17,75 
22488,123122,Medical facility,Other,2016-04-12,2016-05-03,21 
22578,123122,With friends temporarily,Other,2016-05-10,2016-06-03,24 
22668,123122,Medical facility,Other,2016-06-04,2016-07-14,40 
22758,123122,Client does not know,Does not or no longer qualifies for program,2016-07-15,2016-09-07,54 
22848,123122,Client rental with other subsidy,Completed program,2017-09-29,2018-11-07,404 
22938,363382,With friends temporarily,Other,2015-08-15,2015-10-29,75 
23010,363382,With friends temporarily,Other,2015-10-30,2016-01-07,69 
23082,363382,Data not collected,Reached maximum time allowed,2016-01-08,2016-03-01,53 
23586,165730,With friends temporarily,Other,2015-08-15,2015-09-06,22 
23622,165730,Client rental without subsidy,Completed program,2015-10-02,2016-02-17,138 
23658,165730,Medical facility,Needs could not be met,2018-05-23,2018-05-27,4 
23694,165730,Transitional homeless housing,Criminal activity / violence,2018-08-10,2018-12-05,117 
23874,165730,With friends temporarily,Other,2015-08-15,2015-09-06,22 
23910,165730,Client rental without subsidy,Completed program,2015-10-02,2016-02-17,138 
23946,165730,Medical facility,Needs could not be met,2018-05-23,2018-05-27,4 
23982,165730,Transitional homeless housing,Criminal activity / violence,2018-08-10,2018-12-05,117 
24018,165730,With friends temporarily,Other,2015-08-15,2015-09-06,22 
24054,165730,Client rental without subsidy,Completed program,2015-10-02,2016-02-17,138 
24090,165730,Medical facility,Needs could not be met,2018-05-23,2018-05-27,4 
24126,165730,Transitional homeless housing,Criminal activity / violence,2018-08-10,2018-12-05,117 
24162,291392,With friends temporarily,Other,2015-08-15,2015-08-22,7 
24186,291392,Client rental with VASH subsidy,Completed program,2015-08-24,2016-02-05,165 
24210,291392,Client rental with RRH subsidy,Completed program,2018-07-02,2019-04-02,274 
24378,359808,Client rental with VASH subsidy,Completed program,2015-08-15,2015-10-29,75 
24386,385539,With friends temporarily,Other,2015-08-15,2015-09-23,39 
24413,385539,With friends temporarily,Other,2015-10-16,2016-02-21,128 
24440,385539,Medical facility,Other,2016-02-22,2016-03-04,11 
24629,360237,With friends temporarily,Other,2015-08-15,2015-10-08,54 
24741,360237,Medical facility,Other,2015-10-16,2015-10-28,12 
24853,360237,Incarcerated,Criminal activity / violence,2015-11-02,2015-12-05,33 
24965,360237,With friends temporarily,Other,2016-04-07,2016-04-14,7 
25077,360237,With friends temporarily,Other,2016-04-15,2016-05-02,17 
25189,360237,With friends temporarily,Other,2016-05-08,2016-05-10,2 
25301,360237,With friends temporarily,Other,2016-05-14,2016-05-16,2 
25413,360237,With friends temporarily,Other,2016-05-23,2016-07-15,53 
25525,360237,Client rental with other subsidy,Completed program,2016-07-16,2016-09-15,61 
25637,360237,No exit interview,Unknown/Disappeared,2018-07-06,2018-07-15,9 
25749,360237,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-12-20,31 
25861,360237,With friends temporarily,Non-compliance with program,2019-02-11,2019-03-29,46 
